Cluster ID,OUTGOING Edges, INCOMING Edges,,Sum Edges
0,296,346,,642
1,15,11,,26
2,103,114,,217
3,87,109,,196
4,9,11,,20
5,11,12,,23
6,24,27,,51
7,10,9,,19
8,50,46,,96
9,21,20,,41
10,25,30,,55
11,12,13,,25
12,5,7,,12
13,6,8,,14
14,27,30,,57
15,25,18,,43
16,1,3,,4
17,52,41,,93
18,40,42,,82
19,29,26,,55
20,3,6,,9
21,2,1,,3
22,2,0,,2
23,6,4,,10
24,14,13,,27
25,7,7,,14
26,6,7,,13
27,9,10,,19
28,4,5,,9
29,2,2,,4
30,6,10,,16
31,12,11,,23
32,5,7,,12
33,4,2,,6
34,3,4,,7
35,6,5,,11
36,6,6,,12
37,5,5,,10
38,3,4,,7
39,3,4,,7
40,3,5,,8
41,1,1,,2
